epoch_time,current,status,seconds_time,ect
1647315489,3.571533995,Wash,1757,52
1647315491,4.187602795,Wash,1759,50
1647315493,3.588184503,Wash,1761,48
1647315495,3.99473441,Wash,1763,46
1647315497,3.595122214,Wash,1765,44
1647315499,4.137651271,Wash,1767,42
1647315501,4.0599489,Wash,1769,40
1647315503,3.638136027,Wash,1771,38
1647315505,3.79354077,Wash,1773,36
1647315507,3.829616871,Wash,1775,34
1647315509,4.134876186,Wash,1777,32
1647315511,3.801866024,Wash,1779,30
1647315513,0.928265828,Wash,1781,28
1647315515,3.954495682,Wash,1783,26
1647315517,3.739426618,Wash,1785,24
1647315519,3.785215516,Wash,1787,22
1647315521,4.19037788,Wash,1789,20
1647315523,3.668661959,Wash,1791,18
1647315525,3.839329667,Wash,1793,16
1647315527,4.029422968,Wash,1795,14
1647315529,4.040523307,Wash,1797,12
1647315531,3.98918424,Wash,1799,10
1647315533,3.973921274,Wash,1801,8
1647315535,3.833779498,Wash,1803,6
1647315537,3.647848824,Wash,1805,4
1647315539,4.007222291,Wash,1807,2
1647315541,4.10712534,Wash,1809,0
1647315543,0.131816523,Spin,1811,966
1647315545,0.102678133,Spin,1813,964
1647315547,0.122103726,Spin,1815,962
1647315549,0.123491269,Spin,1817,960
1647315551,0.199806098,Spin,1819,958
1647315553,0.267795672,Spin,1821,956
1647315555,0.321909824,Spin,1823,954
1647315557,0.362148552,Spin,1825,952
1647315559,0.381574145,Spin,1827,950
1647315561,0.374636433,Spin,1829,948
1647315563,0.382961687,Spin,1831,946
1647315565,0.414875161,Spin,1833,944
1647315567,0.414875161,Spin,1835,942
1647315569,0.410712534,Spin,1837,940
1647315571,0.413487619,Spin,1839,938
1647315573,0.42042533,Spin,1841,936
1647315575,0.421812873,Spin,1843,934
1647315577,0.416262703,Spin,1845,932
1647315579,0.42042533,Spin,1847,930
1647315581,0.414875161,Spin,1849,928
1647315583,0.431525669,Spin,1851,926
1647315585,0.366311179,Spin,1853,924
1647315587,0.351048213,Spin,1855,922
1647315589,0.364923637,Spin,1857,920
1647315591,0.641044563,Spin,1859,918
1647315593,1.040656758,Spin,1861,916
1647315595,0.853338542,Spin,1863,914
1647315597,0.394062026,Spin,1865,912
1647315599,0.199806098,Spin,1867,910
1647315601,0.216456606,Spin,1869,908
1647315603,0.226169402,Spin,1871,906
1647315605,0.216456606,Spin,1873,904
1647315607,0.209518894,Spin,1875,902
1647315609,0.208131352,Spin,1877,900
1647315611,0.209518894,Spin,1879,898
1647315613,0.220619233,Spin,1881,896
1647315615,0.560567107,Spin,1883,894
1647315617,0.960179302,Spin,1885,892
1647315619,0.693771172,Spin,1887,890
1647315621,0.592480581,Spin,1889,888
1647315624,0.202581182,Spin,1892,885
1647315626,0.237269741,Spin,1894,883
1647315628,0.233107114,Spin,1896,881
1647315630,0.21923169,Spin,1898,879
1647315632,0.226169402,Spin,1900,877
1647315634,0.21923169,Spin,1902,875
1647315636,0.209518894,Spin,1904,873
1647315638,0.209518894,Spin,1906,871
1647315640,0.206743809,Spin,1908,869
1647315642,0.50922804,Spin,1910,867
1647315644,0.947691421,Spin,1912,865
1647315646,0.946303879,Spin,1914,863
1647315648,0.446788635,Spin,1916,861
1647315650,0.195643471,Spin,1918,859
1647315652,0.240044826,Spin,1920,857
1647315654,0.223394317,Spin,1922,855
1647315656,0.217844148,Spin,1924,853
1647315658,0.299709146,Spin,1926,851
1647315660,0.409324992,Spin,1928,849
1647315662,0.470376855,Spin,1930,847
1647315664,0.493965075,Spin,1932,845
1647315666,0.552241853,Spin,1934,843
1647315668,0.442626008,Spin,1936,841
1647315670,0.245594995,Spin,1938,839
1647315672,0.28999635,Spin,1940,837
1647315674,0.314972112,Spin,1942,835
1647315676,0.33162262,Spin,1944,833
1647315678,0.348273128,Spin,1946,831
1647315680,0.356598383,Spin,1948,829
1647315682,0.374636433,Spin,1950,827
1647315684,0.442626008,Spin,1952,825
1647315686,0.428750584,Spin,1954,823
1647315688,0.430138127,Spin,1956,821
1647315690,0.394062026,Spin,1958,819
1647315692,0.419037788,Spin,1960,817
1647315694,0.456501431,Spin,1962,815
1647315696,0.450951262,Spin,1964,813
1647315698,0.437075838,Spin,1966,811
1647315700,0.493965075,Spin,1968,809
1647315702,0.49118999,Spin,1970,807
1647315704,0.498127702,Spin,1972,805
1647315706,0.505065413,Spin,1974,803
1647315708,0.553629395,Spin,1976,801
1647315710,0.623006513,Spin,1978,799
1647315712,0.646594733,Spin,1980,797
1647315714,0.595255666,Spin,1982,795
1647315716,0.545304141,Spin,1984,793
1647315718,0.573054988,Spin,1986,791
1647315720,0.670182952,Spin,1988,789
1647315722,0.653532444,Spin,1990,787
1647315724,0.677120664,Spin,1992,785
1647315726,0.675733122,Spin,1994,783
1647315728,0.713196765,Spin,1996,781
1647315730,0.549466768,Spin,1998,779
1647315732,0.456501431,Spin,2000,777
1647315734,0.450951262,Spin,2002,775
1647315736,0.477314566,Spin,2004,773
1647315738,0.487027363,Spin,2006,771
1647315740,0.470376855,Spin,2008,769
1647315742,0.466214228,Spin,2010,767
1647315744,0.471764397,Spin,2012,765
1647315746,0.464826685,Spin,2014,763
1647315748,0.487027363,Spin,2016,761
1647315750,0.616068801,Spin,2018,759
1647315752,0.690996088,Spin,2020,757
1647315754,0.695158715,Spin,2022,755
1647315756,0.661857698,Spin,2024,753
1647315758,0.652144902,Spin,2026,751
1647315760,0.696546257,Spin,2028,749
1647315762,0.702096426,Spin,2030,747
1647315764,0.714584307,Spin,2032,745
1647315766,0.714584307,Spin,2034,743
1647315768,0.732622358,Spin,2036,741
1647315770,0.740947612,Spin,2038,739
1647315772,0.761760747,Spin,2040,737
1647315774,0.770086001,Spin,2042,735
1647315776,0.768698459,Spin,2044,733
1647315778,0.790899136,Spin,2046,731
1647315780,0.793674221,Spin,2048,729
1647315782,0.810324729,Spin,2050,727
1647315784,0.811712271,Spin,2052,725
1647315786,0.860276254,Spin,2054,723
1647315788,0.856113627,Spin,2056,721
1647315790,0.849175915,Spin,2058,719
1647315792,0.853338542,Spin,2060,717
1647315794,0.86998905,Spin,2062,715
1647315796,0.899127439,Spin,2064,713
1647315798,0.908840236,Spin,2066,711
1647315800,0.903290066,Spin,2068,709
1647315802,0.861663796,Spin,2070,707
1647315804,0.688221003,Spin,2072,705
1647315806,0.610518632,Spin,2074,703
1647315808,0.700708884,Spin,2076,701
1647315810,0.728459731,Spin,2078,699
1647315812,0.703483969,Spin,2080,697
1647315814,0.634106851,Spin,2082,695
1647315816,0.607743547,Spin,2084,693
1647315818,0.199806098,Spin,2086,691
1647315820,0.198418555,Spin,2088,689
1647315822,0.205356267,Spin,2090,687
1647315824,0.206743809,Spin,2092,685
1647315826,0.202581182,Spin,2094,683
1647315828,0.217844148,Spin,2096,681
1647315830,0.208131352,Spin,2098,679
1647315832,0.198418555,Spin,2100,677
1647315834,0.198418555,Spin,2102,675
1647315836,0.20119364,Spin,2104,673
1647315838,0.203968725,Spin,2106,671
1647315840,0.195643471,Spin,2108,669
1647315842,0.291383892,Spin,2110,667
1647315844,0.792286679,Spin,2112,665
1647315846,0.936591082,Spin,2114,663
1647315848,0.438463381,Spin,2116,661
1647315850,0.187318216,Spin,2118,659
1647315852,0.208131352,Spin,2120,657
1647315854,0.227556944,Spin,2122,655
1647315856,0.216456606,Spin,2124,653
1647315858,0.284446181,Spin,2126,651
1647315860,0.357985925,Spin,2128,649
1647315862,0.376023975,Spin,2130,647
1647315864,0.405162365,Spin,2132,645
1647315866,0.42042533,Spin,2134,643
1647315868,0.333010163,Spin,2136,641
1647315870,0.251145164,Spin,2138,639
1647315872,0.341335417,Spin,2140,637
1647315874,0.276120927,Spin,2142,635
1647315876,0.278896011,Spin,2144,633
1647315878,0.284446181,Spin,2146,631
1647315880,0.284446181,Spin,2148,629
1647315882,0.2719583,Spin,2150,627
1647315885,0.273345842,Spin,2153,624
1647315887,0.269183215,Spin,2155,622
1647315889,0.349660671,Spin,2157,620
1647315891,0.319134739,Spin,2159,618
1647315893,0.317747197,Spin,2161,616
1647315895,0.327459993,Spin,2163,614
1647315897,0.330235078,Spin,2165,612
1647315899,0.348273128,Spin,2167,610
1647315901,0.344110501,Spin,2169,608
1647315903,0.348273128,Spin,2171,606
1647315905,0.359373467,Spin,2173,604
1647315907,0.356598383,Spin,2175,602
1647315909,0.351048213,Spin,2177,600
1647315911,0.367698721,Spin,2179,598
1647315913,0.373248891,Spin,2181,596
1647315915,0.441238466,Spin,2183,594
1647315917,0.362148552,Spin,2185,592
1647315919,0.382961687,Spin,2187,590
1647315921,0.399612195,Spin,2189,588
1647315923,0.416262703,Spin,2191,586
1647315925,0.376023975,Spin,2193,584
1647315927,0.364923637,Spin,2195,582
1647315929,0.388511856,Spin,2197,580
1647315931,0.496740159,Spin,2199,578
1647315933,0.399612195,Spin,2201,576
1647315935,0.396837111,Spin,2203,574
1647315937,0.428750584,Spin,2205,572
1647315939,0.413487619,Spin,2207,570
1647315941,0.427363042,Spin,2209,568
1647315943,0.445401093,Spin,2211,566
1647315945,0.387124314,Spin,2213,564
1647315947,0.409324992,Spin,2215,562
1647315949,0.474539482,Spin,2217,560
1647315951,0.351048213,Spin,2219,558
1647315953,0.392674483,Spin,2221,556
1647315955,0.399612195,Spin,2223,554
1647315957,0.387124314,Spin,2225,552
1647315959,0.430138127,Spin,2227,550
1647315961,0.446788635,Spin,2229,548
1647315963,0.417650246,Spin,2231,546
1647315965,0.413487619,Spin,2233,544
1647315967,0.452338804,Spin,2235,542
1647315969,0.453726347,Spin,2237,540
1647315971,0.416262703,Spin,2239,538
1647315973,0.460664058,Spin,2241,536
1647315975,0.510615583,Spin,2243,534
1647315977,0.493965075,Spin,2245,532
1647315979,0.424587957,Spin,2247,530
1647315981,0.503677871,Spin,2249,528
1647315983,0.545304141,Spin,2251,526
1647315985,0.543916599,Spin,2253,524
1647315987,0.539753972,Spin,2255,522
1647315989,0.536978887,Spin,2257,520
1647315991,0.488414905,Spin,2259,518
1647315993,0.541141514,Spin,2261,516
1647315995,0.588317954,Spin,2263,514
1647315997,0.599418293,Spin,2265,512
1647315999,0.5799927,Spin,2267,510
1647316001,0.578605158,Spin,2269,508
1647316003,0.606356005,Spin,2271,506
1647316005,0.531428718,Spin,2273,504
1647316007,0.445401093,Spin,2275,502
1647316009,0.405162365,Spin,2277,500
1647316011,0.424587957,Spin,2279,498
1647316013,0.468989312,Spin,2281,496
1647316015,0.446788635,Spin,2283,494
1647316017,0.4259755,Spin,2285,492
1647316019,0.442626008,Spin,2287,490
1647316021,0.44401355,Spin,2289,488
1647316023,0.482864736,Spin,2291,486
1647316025,0.596643208,Spin,2293,484
1647316027,0.653532444,Spin,2295,482
1647316029,0.652144902,Spin,2297,480
1647316031,0.628556682,Spin,2299,478
1647316033,0.634106851,Spin,2301,476
1647316035,0.659082614,Spin,2303,474
1647316037,0.677120664,Spin,2305,472
1647316039,0.695158715,Spin,2307,470
1647316041,0.689608545,Spin,2309,468
1647316043,0.696546257,Spin,2311,466
1647316045,0.713196765,Spin,2313,464
1647316047,0.729847273,Spin,2315,462
1647316049,0.738172527,Spin,2317,460
1647316051,0.732622358,Spin,2319,458
1647316053,0.745110239,Spin,2321,456
1647316055,0.768698459,Spin,2323,454
1647316057,0.779798798,Spin,2325,452
1647316059,0.78118634,Spin,2327,450
1647316061,0.795061763,Spin,2329,448
1647316063,0.696546257,Spin,2331,446
1647316065,0.51477821,Spin,2333,444
1647316067,0.567504819,Spin,2335,442
1647316069,0.65075736,Spin,2337,440
1647316071,0.661857698,Spin,2339,438
1647316073,0.60358092,Spin,2341,436
1647316075,0.563342192,Spin,2343,434
1647316077,0.617456343,Spin,2345,432
1647316079,0.795061763,Spin,2347,430
1647316081,0.831137864,Spin,2349,428
1647316083,0.831137864,Spin,2351,426
1647316085,0.73956007,Spin,2353,424
1647316087,0.765923374,Spin,2355,422
1647316089,0.829750322,Spin,2357,420
1647316091,0.838075576,Spin,2359,418
1647316093,0.826975237,Spin,2361,416
1647316095,0.824200153,Spin,2363,414
1647316097,0.839463118,Spin,2365,412
1647316099,0.875539219,Spin,2367,410
1647316101,0.865826423,Spin,2369,408
1647316103,0.874151677,Spin,2371,406
1647316105,0.879701846,Spin,2373,404
1647316107,0.896352355,Spin,2375,402
1647316110,0.892189727,Spin,2378,399
1647316112,0.890802185,Spin,2380,397
1647316114,0.904677609,Spin,2382,395
1647316116,0.947691421,Spin,2384,393
1647316118,0.949078964,Spin,2386,391
1647316120,0.953241591,Spin,2388,389
1647316122,0.980992438,Spin,2390,387
1647316124,0.985155065,Spin,2392,385
1647316126,0.994867861,Spin,2394,383
1647316128,0.980992438,Spin,2396,381
1647316130,0.997642946,Spin,2398,379
1647316132,1.02955642,Spin,2400,377
1647316134,1.042044301,Spin,2402,375
1647316136,1.069795148,Spin,2404,373
1647316138,1.051757097,Spin,2406,371
1647316140,1.050369555,Spin,2408,369
1647316142,1.096158452,Spin,2410,367
1647316144,1.082283029,Spin,2412,365
1647316146,1.093383367,Spin,2414,363
1647316148,1.101708621,Spin,2416,361
1647316150,1.122521757,Spin,2418,359
1647316152,1.119746672,Spin,2420,357
1647316154,1.133622095,Spin,2422,355
1647316156,1.148885061,Spin,2424,353
1647316158,1.157210315,Spin,2426,351
1647316160,1.148885061,Spin,2428,349
1647316162,1.175248366,Spin,2430,347
1647316164,1.202999213,Spin,2432,345
1647316166,1.209936924,Spin,2434,343
1647316168,1.215487094,Spin,2436,341
1647316170,1.227974975,Spin,2438,339
1647316172,1.244625483,Spin,2440,337
1647316174,1.289026838,Spin,2442,335
1647316176,1.287639296,Spin,2444,333
1647316178,1.283476669,Spin,2446,331
1647316180,1.29596455,Spin,2448,329
1647316182,1.309839973,Spin,2450,327
1647316184,1.312615058,Spin,2452,325
1647316186,1.312615058,Spin,2454,323
1647316188,1.343140989,Spin,2456,321
1647316190,1.370891836,Spin,2458,319
1647316192,1.400030226,Spin,2460,317
1647316194,1.40280531,Spin,2462,315
1647316196,1.398642683,Spin,2464,313
1647316198,1.419455818,Spin,2466,311
1647316200,1.351466243,Spin,2468,309
1647316202,1.141947349,Spin,2470,307
1647316204,1.093383367,Spin,2472,305
